c,d,f,z
22.89241406,30.91386566,NA,0.968328461
2735.477493,40.51383127,4.443567397,0.379223653
0.296255621,33.46056514,NA,0.008045937
7.871042119,NA,NA,3.912788684
8.010131152,0.059169784,NA,0.343275057
9.031468008,0.013400834,NA,0.228702722
4.755999433,30.14128817,NA,0.049057467
4.290028638,NA,NA,0.211942103
12.83096047,NA,NA,0.05335726
9.373628193,NA,0.182164921,0.391263975
5.577355141,28.0503321,NA,NA
5.489694237,51.45576889,NA,0.391302202
NA,25.68094737,NA,0.125311157
8.117700982,0.000744099,NA,0.286477174
9.525777781,0.085916797,NA,0.217519801
9.032160913,NA,NA,0.228431077
20.27114202,NA,-11.9820221,0.137982309
7.328777426,0.041079593,NA,1.391266369
0.232110839,37.98288574,NA,0.369106631
0.000304809,32.73603527,0.172666206,1.646669378
